GDPR Sensitive,Notes,Event Code Legacy,Hybride,ActionEventCode Hybride,Status,N/A in V2,Wish list,Stack V2,Stack V1,Action,Capacity,Applications,Actor,Entities,Service,Business Criticity,Activity,API v1 Call,API v1 Note,API v1 Verb,Event tracked since,Criticity of Capacity
No,,,No,,,No,Yes,No,Yes,Track FG Holidays,https://www.notion.so/Manage-FlatGuides-900541c236724f82a9ffdab241a86553,https://www.notion.so/Google-Drive-fc7980c1a74c45efb7269a34a2b1a36f,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Medium
No,,,No,,,No,No,No,No,Track Interactions with Customer,"https://www.notion.so/Communicate-FlatGuide-3a7d672c46664690a579b7917ec6c5c2, https://www.notion.so/Communicate-SaaS-b6ae0ba12566444387e5fff902c1b35c",https://www.notion.so/HubSpot-f18a017f3dfa4c028aeed2bd268177a5,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,"https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,Light"
No,,,No,,,No,No,No,Yes,Train Customer,https://www.notion.so/Set-up-Account-8829bc7ee02c44b98b9775dab9940fb5,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,No,Transfer FG Payments,https://www.notion.so/Handle-FlatGuide-Payment-b30f9d3aa46947429f93ae18e842fa6c,https://www.notion.so/Qonto-87aecfce8970411f9656462272143730,https://www.notion.so/C-Level-2cd428e9ee88421d9582aa74ce7bd7e8,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Medium
No,,,No,,Business Chack,No,No,No,Yes,Trigger an email for booking selection to Applicants on waiting list,"https://www.notion.so/Manage-FlatGuide-Visits-18c3ee43a79b4145a31ccde6a1668ddc, https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55",https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,"https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,High"
No,,,No,,,No,No,No,No,Update Availabilities,https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55,https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Availabilities-70eab40324734a48b7832ca5900e17cf,,,https://www.notion.so/a37139b96ea448588075ceccf988a2c9,,,,,High
No,,,No,,,No,No,No,Yes,Update FG Availabilities,https://www.notion.so/Manage-FlatGuide-Availabilities-cc9c16c0a94e4ea29c37c11e05ed3e63,https://www.notion.so/FlatGuide-App-c90e959f40264e73b351781212bcc703,https://www.notion.so/Flat-Guide-d466759d44bf4efe995c7eeb0f3a29ca,https://www.notion.so/Availabilities-70eab40324734a48b7832ca5900e17cf,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,High
No,,,No,,,No,No,No,No,Update Invoice info when updating User counts,https://www.notion.so/SaaS-Invoice-3625994e436b4bd1851da091e6df3e88,https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/a37139b96ea448588075ceccf988a2c9,,,,,Medium
No,,,No,,,No,No,Yes,No,Upload FG Legal Document,https://www.notion.so/Set-up-FlatGuide-Account-6792fe5d43cf4cdea7d49b815e925eb0,https://www.notion.so/FlatGuide-App-c90e959f40264e73b351781212bcc703,https://www.notion.so/Flat-Guide-d466759d44bf4efe995c7eeb0f3a29ca,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
Yes,,,No,,,No,No,Yes,Yes,Use “Dossier Facile” to send Application Documents,"https://www.notion.so/Manage-Applications-c7e8d19c87314eae88ac760916eef991, https://www.notion.so/Manage-SaaS-Applications-c3a9488441eb4dbaab6be5e04342f4a0",https://www.notion.so/Applicant-App-4034543ba8b3418abe7071688eadd6ed,https://www.notion.so/Applicant-b3fc61ee3d294c8a983a7cce5a5ede16,https://www.notion.so/Application-4a6ff18cc4cc42bb8e4ab95157233487,,,"https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,High"
No,,,No,,,No,No,Yes,No,Validate FC Banking Document,https://www.notion.so/Validate-FlatGuide-c47d5e2e7c2b4e9c8291b03f15166e9d,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,Yes,No,Validate FG ID documents,https://www.notion.so/Validate-FlatGuide-c47d5e2e7c2b4e9c8291b03f15166e9d,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,No,Yes,View an FG Ranking and comments per Booking,https://www.notion.so/FlatGuide-Reporting-4a2711b9ce8f4cae8ab73c32b7edce05,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
